gene_id	untreated1	untreated2	untreated3	untreated4	treated1	treated2	treated3
FBgn0000412	2586	5079	1761	1952	5223	2368	2396
FBgn0000413	2606	4403	2207	2045	3904	2197	2356
FBgn0000414	3130	4260	1679	1739	3356	1640	1793
FBgn0000416	49160	73644	28018	32770	52959	25468	27780
FBgn0000422	6	10	5	4	16	3	8
FBgn0000426	721	1405	357	496	1299	503	671
FBgn0000427	0	0	0	1	0	0	0
FBgn0000439	0	0	0	0	0	0	0
FBgn0000442	2	7	3	2	6	1	6
FBgn0000447	551	978	320	424	1308	537	622
FBgn0000448	7	10	4	7	12	7	8
FBgn0000449	0	0	0	0	0	0	0
FBgn0000451	1	2	0	0	2	0	1
FBgn0000454	3147	4114	1863	2176	3613	2200	2475
FBgn0000455	595	787	415	486	723	411	433
FBgn0000459	3	7	1	6	9	6	3
FBgn0000463	1	0	1	1	1	1	3
FBgn0000464	1654	2928	1168	1081	2446	1183	1204
FBgn0000472	2067	6534	1974	1850	4639	1704	1998
FBgn0000473	9	40	11	11	18	17	15
FBgn0000477	1	1	2	2	0	1	2
FBgn0000479	990	1751	619	718	1151	663	702
FBgn0000482	1156	1731	711	784	1360	825	902
FBgn0000489	124	162	79	83	174	95	100
FBgn0000490	112	302	115	114	444	213	215
FBgn0000492	1	1	0	1	1	0	0
FBgn0000497	8	9	2	0	1	0	0
FBgn0000499	959	1706	713	708	1416	762	880
FBgn0000500	3	7	1	4	4	6	7
FBgn0000504	10	19	0	2	32	5	1
FBgn0000520	599	868	417	504	737	538	600
FBgn0000524	901	1399	550	594	1486	869	817
FBgn0000527	178	242	113	129	150	104	77
FBgn0000529	2	1	0	0	0	0	1
FBgn0000533	2	15	3	7	13	4	8
FBgn0000535	155	393	188	157	203	105	106
FBgn0000536	1173	1592	483	585	1669	638	668
FBgn0000541	5941	11241	3252	2889	9965	3240	3052
FBgn0000542	126	311	123	123	238	130	146
FBgn0000543	740	1166	457	566	989	616	766
FBgn0000546	990	1871	730	643	1513	704	683
FBgn0000547	225	528	248	208	648	302	374
FBgn0000551	1	4	2	0	0	3	1
FBgn0000552	0	0	0	0	0	0	0
FBgn0000556	232141	360330	131242	167116	253500	146390	164148
FBgn0000557	40	77	27	30	91	29	44
FBgn0000559	122803	171656	70067	87334	156921	86253	96004
FBgn0000560	0	2	0	0	0	0	1
FBgn0000562	1655	2821	1073	1041	2126	1129	1139
FBgn0000564	0	0	0	0	0	0	0
FBgn0000565	407	865	309	415	1012	628	752
FBgn0000566	966	1349	424	600	1300	736	645
FBgn0000567	352	600	267	250	265	118	103
FBgn0000568	2549	7702	3323	2825	5275	2659	2729
FBgn0000575	1297	2586	950	838	3321	1037	1169
FBgn0000576	0	0	0	0	0	0	0
FBgn0000577	0	2	0	1	0	0	0
FBgn0000578	6212	11069	4433	4067	7719	3694	3921
FBgn0000579	7956	12276	5310	6039	14036	8739	9264
FBgn0000581	3723	6730	2674	2468	5150	2655	2558
FBgn0000588	413	570	235	289	444	289	251
FBgn0000591	1	0	0	0	0	0	0
FBgn0000592	7	3	2	2	7	0	4
FBgn0000594	21	32	22	21	45	8	12
FBgn0000606	1	2	1	0	0	2	0
FBgn0000611	1781	2790	863	1065	2245	955	978
FBgn0000615	604	627	207	265	683	294	268
FBgn0000617	932	1104	560	691	1184	697	733
FBgn0000618	152	263	68	124	274	117	159
FBgn0000625	1	1	0	0	1	0	1
FBgn0000629	1375	1820	819	875	1505	845	952
FBgn0000630	9	36	21	20	30	15	17
FBgn0000633	12	35	13	13	56	23	34
FBgn0000634	420	538	202	202	694	313	318
FBgn0000635	56	260	123	110	259	140	169
FBgn0000636	50	103	37	45	83	30	35
FBgn0000639	2	1	0	2	0	0	1
FBgn0000640	0	8	0	0	1	0	2
FBgn0000644	11	12	5	5	5	1	6
FBgn0000658	5	7	2	1	10	4	3
FBgn0000659	2	5	0	1	7	2	2
FBgn0000662	1383	2283	834	841	1843	859	910
FBgn0000667	1485	2510	1148	1294	1910	1220	1282
FBgn0000709	2350	4163	1779	1772	3364	1635	1804
FBgn0000711	1191	2045	630	751	2012	767	821
FBgn0000715	0	1	0	0	1	0	0
FBgn0000719	2303	3958	1616	1496	3164	1484	1775
FBgn0000721	950	1662	644	659	1557	746	792
FBgn0000723	2085	3499	1526	1579	2930	1528	1720
FBgn0000808	123	264	79	112	212	96	111
FBgn0000810	321	739	166	173	597	205	191
FBgn0000826	122	169	72	74	199	130	147
FBgn0000927	27	36	31	26	51	32	32
FBgn0000928	716	880	402	443	1218	661	668
FBgn0000964	0	0	0	1	1	0	0
FBgn0000986	2997	3829	1629	1572	3955	1941	1905
FBgn0000996	1395	2540	814	945	1854	845	879
FBgn0001075	34	84	38	33	75	36	32
FBgn0001077	0	0	0	0	0	0	0
FBgn0001078	1009	2008	942	852	1693	957	943
FBgn0001079	467	622	254	277	558	298	323
FBgn0001083	248	236	135	137	280	164	169
FBgn0001084	64	113	38	50	139	52	69
FBgn0001085	6	25	3	6	18	14	7
FBgn0001086	1413	2001	738	792	1899	870	925
FBgn0001087	1751	2725	1179	1333	2670	1365	1548
FBgn0001089	41	93	33	44	76	40	56
FBgn0001090	37	50	31	20	78	39	47
FBgn0001091	3920	5045	2383	2763	6998	4686	5186
FBgn0001092	10447	12387	5021	6445	13829	8575	9816
FBgn0001098	511	975	377	429	665	344	389
FBgn0001099	0	0	0	0	0	0	0
FBgn0001104	7783	12144	4475	4755	11824	5257	5848
FBgn0001105	4159	7751	2722	3062	6707	3340	3644
FBgn0001108	2628	3903	1668	1772	3156	1721	1837
FBgn0001112	1	0	1	0	5	0	0
FBgn0001114	45281	85736	30000	34366	43241	25666	27946
FBgn0001120	0	4	1	1	6	1	2
FBgn0001122	869	1793	504	479	2560	846	934
FBgn0001123	939	2236	559	589	1893	579	679
FBgn0001124	1065	1642	704	821	2485	1257	1383
FBgn0001125	3064	3921	1665	1997	3132	1864	2024
FBgn0001128	314	504	205	237	372	164	211
FBgn0001133	588	764	311	415	640	387	435
FBgn0001134	2	18	6	12	9	8	5
FBgn0001137	890	1047	388	505	525	185	216
FBgn0001138	1	2	0	0	0	0	0
FBgn0001139	3700	7811	3026	3249	5583	2992	3367
FBgn0001142	196	645	289	368	654	288	305
FBgn0001145	246	800	315	339	632	377	403
FBgn0001147	1	0	0	0	0	0	0
FBgn0001148	0	0	0	0	0	0	0
FBgn0001149	2253	3641	1289	1723	2986	1517	1766
FBgn0001150	41	97	33	40	58	28	38
FBgn0001168	1958	6380	1985	2066	5181	2098	2363
FBgn0001169	1593	2706	1008	945	2314	1072	1129
FBgn0001170	1	5	3	1	2	2	1
FBgn0001174	0	1	0	2	1	0	0
FBgn0001179	993	1649	586	670	1660	773	846
FBgn0001180	2	9	4	6	4	1	2
FBgn0001185	533	944	283	336	872	318	411
FBgn0001186	2388	4792	1719	1866	4097	2011	2216
FBgn0001187	8	15	7	6	9	5	16
FBgn0001189	1561	2200	819	916	2230	1176	1210
FBgn0001197	3484	5247	1799	2264	6030	2857	3154
FBgn0001202	904	1198	449	587	1208	502	578
FBgn0001203	215	695	323	318	634	298	376
FBgn0001205	524	591	314	323	600	356	373
FBgn0001206	567	960	325	370	1129	561	581
FBgn0001208	1	0	0	0	1	1	0
FBgn0001215	7515	11119	4534	4659	8608	4538	5226
FBgn0001216	2	2	1	1	4	1	4
FBgn0001217	2	2	2	4	2	3	2
FBgn0001218	31354	57711	19583	24203	44630	23146	27826
FBgn0001219	94034	131418	50403	67285	115180	76338	85947
FBgn0001220	7660	10141	3643	4532	9701	4797	5209
FBgn0001222	1187	1987	706	800	1693	731	868
FBgn0001223	0	0	0	0	0	0	0
FBgn0001224	375	569	192	309	1505	669	866
FBgn0001225	282	396	159	226	952	477	599
FBgn0001226	540	1147	442	662	3177	1700	2012
FBgn0001227	24	40	23	21	47	32	34
FBgn0001228	0	0	0	0	0	0	0
FBgn0001229	1	9	0	1	1	6	3
FBgn0001230	162	355	130	142	283	150	180
FBgn0001233	48696	67942	28189	35377	73108	39101	40420
FBgn0001234	999	1982	934	750	2052	579	653
FBgn0001235	0	0	1	0	1	1	0
FBgn0001247	1320	2298	750	887	2292	1011	1094
FBgn0001248	3356	4249	1735	2200	4256	2636	2831
FBgn0001250	36	75	30	34	60	29	38
FBgn0001253	2	1	2	4	2	3	1
FBgn0001254	0	2	0	1	1	2	0
FBgn0001255	28	32	9	17	34	20	7
FBgn0001256	1	1	2	1	2	0	0
FBgn0001257	5180	13897	4455	5038	15916	7710	9082
FBgn0001258	1226	1832	705	888	2932	1683	1892
FBgn0001259	14	19	14	13	31	10	18
FBgn0001263	40	86	31	33	53	34	30
FBgn0001269	0	0	0	0	1	0	0
FBgn0001276	179	344	78	132	269	111	123
FBgn0001280	613	971	262	358	1050	393	483
FBgn0001281	1	1	0	0	2	0	0
FBgn0001285	0	0	0	0	0	0	0
FBgn0001291	1333	2391	804	924	1790	875	1033
FBgn0001296	52	125	56	55	82	57	73
FBgn0001297	12165	22605	9192	8952	14950	7364	7828
FBgn0001301	1338	1690	753	794	1956	947	960
FBgn0001308	4494	6973	3115	3201	5369	3126	3426
FBgn0001311	10	17	10	7	24	14	16
FBgn0001313	0	0	0	0	0	0	0
FBgn0001314	0	0	0	0	0	0	0
FBgn0001315	0	0	0	0	0	0	0
FBgn0001316	12299	21313	8581	8472	19717	10422	11274
FBgn0001319	0	5	1	1	2	1	2
FBgn0001320	0	0	0	0	0	0	0
FBgn0001321	7	23	6	4	20	5	15
FBgn0001323	1	0	0	0	1	0	0
FBgn0001324	2839	4214	1807	1894	3593	2051	2075
FBgn0001325	2	0	0	0	0	1	1
FBgn0001330	559	748	311	334	688	331	330
FBgn0001332	1417	2329	925	1002	1522	724	750
FBgn0001337	748	1199	443	443	1143	555	582
FBgn0001341	468	651	209	238	591	280	251
FBgn0001404	1381	2464	816	786	2464	999	1146
FBgn0001491	340	621	140	196	500	176	188
FBgn0001560	0	0	0	0	0	0	0
FBgn0001565	2637	3587	1538	2003	3310	1626	1876
FBgn0001612	1017	1217	464	559	1447	619	670
FBgn0001624	6913	11881	4437	4276	8959	4141	4572
FBgn0001941	4001	6011	1732	2110	4601	1859	2134
FBgn0001942	65591	96296	39415	51799	69927	42217	47425
FBgn0001961	7286	10095	4732	5718	8386	5549	6037
FBgn0001965	2044	3202	1303	1336	2510	1406	1542
FBgn0001967	18	26	17	20	6	4	7
FBgn0001970	711	820	380	442	771	404	420
FBgn0001974	364	620	248	251	505	253	304
FBgn0001977	662	1147	378	508	1492	656	679
FBgn0001978	5667	10148	4199	4588	8450	4702	5223
FBgn0001981	5	3	0	0	5	2	1
FBgn0001983	0	0	0	0	0	0	0
FBgn0001986	1818	2414	997	1153	1890	1098	1109
FBgn0001987	709	808	369	373	1003	503	568
FBgn0001989	860	1600	567	724	1251	615	603
FBgn0001990	485	814	274	330	662	292	346
FBgn0001991	3	9	3	3	5	2	3
FBgn0001992	6	7	3	8	9	7	6
FBgn0001994	2064	6180	2082	1970	4976	2193	2365
FBgn0001995	597	851	318	408	706	404	430
FBgn0002021	309	463	158	191	478	206	246
FBgn0002022	1638	2305	793	1056	1974	1027	1128
FBgn0002023	1	7	1	3	2	1	3
FBgn0002031	3694	4504	2103	2593	5032	3057	3163
FBgn0002036	98	107	40	62	100	47	61
FBgn0002044	2966	5295	1945	2078	4293	2120	2086
FBgn0002069	3977	6005	2542	3217	6017	3385	3717
FBgn0002121	3845	7067	2304	1945	6167	1848	1876
FBgn0002174	1161	1680	813	914	1369	965	986
FBgn0002183	7975	13485	4852	5695	10611	5695	6427
FBgn0002283	439	541	233	267	445	257	309
FBgn0002284	1968	2430	978	1212	2721	1444	1517
FBgn0002306	3	12	13	3	13	7	3
FBgn0002354	193	230	74	136	302	105	136
FBgn0002413	3240	5724	2087	2255	4809	2207	2362
FBgn0002431	7350	11695	3900	3974	10618	4366	3874
FBgn0002440	67	40	22	27	79	29	31
FBgn0002441	2036	3155	1149	1296	2586	1337	1409
FBgn0002466	2676	3974	1445	1551	3980	1812	1766
FBgn0002521	685	926	218	195	1127	188	212
FBgn0002522	0	1	1	1	0	0	0
FBgn0002524	6568	9002	3394	3896	8881	3964	3981
FBgn0002525	5585	8349	3214	3304	7414	4101	4191
FBgn0002526	94805	153771	56715	57978	136813	68356	64462
FBgn0002527	48821	87970	30421	33243	46825	21218	21010
FBgn0002528	14851	23041	9876	10644	19929	11700	11909
FBgn0002531	5	6	11	5	10	4	3
FBgn0002533	0	0	0	0	1	0	0
FBgn0002534	1	1	1	0	0	0	2
FBgn0002535	1	3	0	0	0	1	0
FBgn0002542	1493	2181	831	921	2139	997	1018
FBgn0002543	395	1282	643	557	1833	967	981
FBgn0002552	1294	1675	785	881	1351	916	1016
FBgn0002561	0	0	0	0	0	0	0
FBgn0002562	0	0	0	0	0	0	0
FBgn0002563	4	8	1	3	4	5	4
FBgn0002564	13	30	14	10	35	21	11
FBgn0002565	2	5	1	2	0	1	2
FBgn0002566	2515	3316	1071	956	4075	992	964
FBgn0002567	39	55	21	29	96	56	61
FBgn0002569	9	7	4	6	10	2	5
FBgn0002570	7	11	5	3	10	5	5
FBgn0002571	2	2	2	3	1	2	1
FBgn0002573	0	0	0	0	0	0	0
FBgn0002576	121	477	268	226	362	253	231
FBgn0002577	177	266	101	120	219	110	137
FBgn0002578	2	3	0	1	11	4	4
FBgn0002579	11729	23091	6688	9210	17152	7692	8734
FBgn0002590	35242	47803	22531	31029	40026	25306	29880
FBgn0002592	1	22	10	6	10	8	11
FBgn0002593	28091	38321	15456	20852	34520	18315	18656
FBgn0002607	39497	51197	22100	30578	42679	26240	29443
FBgn0002609	95	93	38	35	40	17	13
FBgn0002622	45990	71385	29207	41148	54921	36281	41385
FBgn0002626	44015	57347	23529	34520	39432	28504	34335
FBgn0002629	0	0	0	0	0	0	0
FBgn0002631	0	0	0	0	1	1	0
FBgn0002632	0	0	0	0	0	0	0
FBgn0002633	0	1	0	0	0	0	0
FBgn0002638	3106	4845	2009	2296	3771	2087	2195
FBgn0002641	444	653	246	301	809	338	338
FBgn0002643	3200	5798	2587	2271	4426	2279	2362
FBgn0002645	7532	12506	4368	3945	13956	4727	4837
FBgn0002652	323	852	187	192	747	253	243
FBgn0002673	114	166	68	60	138	63	65
FBgn0002707	345	561	180	213	528	247	256
FBgn0002709	5	8	0	1	8	3	2
FBgn0002715	195	292	85	112	356	158	136
FBgn0002716	44	86	42	41	82	31	39
FBgn0002719	6433	13682	5910	6703	11262	6360	7156
FBgn0002723	385	1001	451	443	609	393	449
FBgn0002732	6	10	2	3	4	2	3
FBgn0002733	387	489	195	230	516	257	295
FBgn0002734	12	34	11	3	10	7	10
FBgn0002735	5	5	5	5	5	2	4
FBgn0002736	702	1190	319	408	892	391	482
FBgn0002772	1	5	1	2	4	0	4
FBgn0002773	42	91	32	59	35	15	26
FBgn0002774	1108	1696	580	682	1661	687	719
FBgn0002775	474	814	250	338	546	280	328
FBgn0002778	1970	2341	869	986	1620	639	710
FBgn0002780	5143	8215	2441	2739	7038	2079	2253
FBgn0002781	4627	7625	3049	3472	6037	3535	3906
FBgn0002783	3998	7215	2732	2866	5771	3010	3182
FBgn0002787	1853	2797	1144	1301	2661	1437	1611
FBgn0002789	0	2	0	0	2	0	0
FBgn0002791	499	686	220	265	800	324	326
FBgn0002838	0	0	1	1	4	2	0
FBgn0002842	2	4	0	2	8	4	2
FBgn0002855	0	0	0	0	0	0	0
FBgn0002856	0	0	0	0	0	0	0
FBgn0002862	0	0	0	0	1	0	0
FBgn0002863	7	3	0	0	7	1	0
FBgn0002865	0	1	0	1	0	0	1
FBgn0002868	229	300	66	97	66	23	26
FBgn0002869	0	0	0	0	0	0	0
FBgn0002872	725	1220	409	392	1350	530	568
FBgn0002873	2336	3334	1393	1177	3949	1642	1730
FBgn0002878	1086	1475	608	604	1116	661	658
FBgn0002887	0	0	0	0	0	0	0
FBgn0002891	946	1611	625	634	1845	864	926
FBgn0002899	517	693	233	299	720	315	281
FBgn0002901	241	367	122	121	379	147	142
FBgn0002905	794	1220	434	503	1181	564	537
FBgn0002906	657	1181	335	403	868	345	364
FBgn0002909	0	0	0	0	0	0	0
FBgn0002914	2561	4173	1316	1565	3444	1547	1646
FBgn0002917	82	86	44	46	95	67	46
FBgn0002921	14456	22779	8985	9893	21777	11921	12697
FBgn0002922	5	43	21	19	18	8	11
FBgn0002924	4933	8161	3138	3731	6995	4144	4523
FBgn0002926	139	156	74	53	178	90	77
FBgn0002930	4	6	0	1	2	5	3
FBgn0002931	100	189	60	58	149	50	58
FBgn0002932	818	1129	419	490	1084	497	525
FBgn0002933	0	0	0	0	0	0	0
FBgn0002936	3	6	3	6	5	3	3
FBgn0002937	1	0	0	0	1	0	0
FBgn0002938	1	1	0	1	0	2	0
FBgn0002939	8	22	6	6	6	4	3
FBgn0002940	1	2	2	1	3	1	1
FBgn0002941	0	2	0	3	0	1	1
FBgn0002945	47	144	64	49	66	24	26
FBgn0002948	329	473	186	201	473	260	232
FBgn0002962	9	20	10	8	20	10	9
FBgn0002968	4246	7111	2521	2817	5567	2700	3040
FBgn0002973	176	358	136	137	301	130	140
FBgn0002985	4	17	0	0	0	1	4
FBgn0002989	447	596	226	240	475	266	286
FBgn0003002	3	0	0	1	1	1	0
FBgn0003008	170	293	71	109	261	106	118
FBgn0003009	0	1	0	2	1	0	1
FBgn0003011	13	19	2	7	22	4	7
FBgn0003013	11413	20386	9416	8061	15940	9808	9432
FBgn0003015	27	53	17	25	74	18	19
FBgn0003016	262	574	205	211	523	227	257
FBgn0003022	1450	2145	851	1003	2038	1119	1271
FBgn0003023	11	29	14	23	29	11	19
FBgn0003028	2	9	1	10	13	4	5
FBgn0003031	29214	74087	29558	33758	56839	28203	31312
FBgn0003034	0	1	0	0	0	0	0
FBgn0003041	1814	2339	897	1049	3195	1438	1513
FBgn0003042	242	335	154	132	321	121	176
FBgn0003044	1981	3337	1237	1267	2547	1491	1531
FBgn0003046	4	9	3	6	5	2	3
FBgn0003048	4820	7586	3443	3009	7657	4081	3947
FBgn0003053	46	160	83	74	260	126	148
FBgn0003057	0	1	0	0	0	0	0
FBgn0003060	0	0	0	0	0	0	0
FBgn0003062	2594	3033	1803	1971	2512	2380	2279
FBgn0003065	0	1	1	1	0	1	1
FBgn0003067	699	2378	1044	1114	1631	944	988
FBgn0003068	173	268	142	150	222	139	165
FBgn0003071	1296	2356	1091	1163	1899	1073	1343
FBgn0003074	2027	2914	1160	1342	3888	2283	2323
FBgn0003076	1316	2127	730	930	2909	1478	1721
FBgn0003079	779	1164	409	513	1225	519	570
FBgn0003082	757	803	434	520	877	572	580
FBgn0003086	0	0	0	0	0	0	0
FBgn0003087	147	179	36	33	276	59	49
FBgn0003089	4	18	13	9	15	5	7
FBgn0003090	4	10	3	8	4	2	9
FBgn0003091	2	13	4	2	3	1	3
FBgn0003093	1424	3053	1185	1311	2025	1089	1249
FBgn0003114	1	0	1	1	1	1	0
FBgn0003116	171	240	98	105	284	104	110
FBgn0003117	7837	9804	4378	4575	6826	4121	4255
FBgn0003118	6193	13295	4722	4654	11037	5304	5459
FBgn0003124	2568	3967	1347	1525	4351	1879	2018
FBgn0003129	0	0	1	2	1	1	1
FBgn0003130	1	1	0	0	2	0	0
FBgn0003132	0	2	0	0	2	0	1
FBgn0003134	1293	2528	798	956	1958	920	1001
FBgn0003137	3742	5787	2269	2312	9542	5123	4983
FBgn0003138	2350	4015	1617	1732	3180	1775	2079
FBgn0003139	791	1018	372	507	1084	553	602
FBgn0003140	0	0	0	0	0	0	0
FBgn0003141	449	859	182	276	648	250	285
FBgn0003145	1	0	0	0	0	0	1
FBgn0003149	9	9	9	5	19	12	12
FBgn0003159	685	1682	526	509	1422	607	640
FBgn0003162	57	151	52	62	176	73	75
FBgn0003165	3429	9340	3780	3448	8440	4303	4394
FBgn0003169	1828	2820	1020	1096	2229	1024	1095
FBgn0003174	3	6	1	0	7	2	4
FBgn0003175	2037	4058	1587	1520	2696	1576	1680
FBgn0003177	3354	6535	2743	2379	6353	3275	3562
FBgn0003178	7016	8522	4225	4885	8758	5255	5707
FBgn0003187	11	11	6	5	23	10	17
FBgn0003189	5454	6315	3073	3255	5429	3421	3294
FBgn0003200	492	739	329	346	789	425	422
FBgn0003204	1423	1845	928	1032	1513	923	969
FBgn0003205	2996	4128	1510	1737	3777	1716	1908
FBgn0003206	958	1439	435	563	1467	546	599
FBgn0003209	1070	1627	648	733	1693	810	873
FBgn0003210	1609	2539	942	1029	2633	1151	1250
FBgn0003218	922	1236	583	613	1171	641	620
FBgn0003227	231	350	154	164	424	189	221
FBgn0003231	3239	6318	2019	2320	4768	1998	2344
FBgn0003248	1	1	2	0	1	2	2
FBgn0003249	0	1	0	0	1	0	2
FBgn0003250	1	2	0	0	2	1	0
